id,wave,vd,vi,cov
2aw0rm,1,0,4,5
2aw0rm,2,NA,NA,NA
2aw0rm,3,NA,NA,NA
2aw65Z,1,0,1,8
2aw65Z,2,0,4,7
2aw65Z,3,0,3,6
2aw81n,1,0,0,14
2aw81n,2,0,1,12
2aw81n,3,0,1,11
2aw8QY,1,0,0,0
2aw8QY,2,NA,NA,NA
2aw8QY,3,0,0,0
2awDjo,1,0,0,0
2awDjo,2,0,0,0
2awDjo,3,0,0,0
2awEok,1,1,1,21
2awEok,2,0,6,21
2awEok,3,0,4,20
2awEqY,1,0,2,2
2awEqY,2,0,0,0
2awEqY,3,0,1,4
2awgmm,1,0,1,0
2awgmm,2,0,0,0
2awgmm,3,0,0,0
2awgq6,1,0,3,9
2awgq6,2,0,5,2
2awgq6,3,0,2,10
2awgRk,1,1,2,17
2awgRk,2,0,2,13
2awgRk,3,1,2,11
2awLMO,1,0,3,1
2awLMO,2,0,4,3
2awLMO,3,0,3,3
2awMDn,1,0,0,2
2awMDn,2,0,3,0
2awMDn,3,NA,NA,NA
2awMw6,1,0,4,1
2awMw6,2,NA,NA,NA
2awMw6,3,0,4,3
2awx3y,1,0,1,6
2awx3y,2,NA,NA,NA
2awx3y,3,NA,NA,NA
2awx5n,1,0,0,0
2awx5n,2,0,0,0
2awx5n,3,0,0,0
2awxEz,1,0,3,10
2awxEz,2,0,3,12
2awxEz,3,0,2,13
2awxnm,1,0,5,18
2awxnm,2,NA,NA,NA
2awxnm,3,NA,NA,NA
2awxWk,1,0,1,0
2awxWk,2,0,1,0
2awxWk,3,0,0,0
2az4dD,1,0,0,0
2az4dD,2,0,0,0
2az4dD,3,0,0,1
2azd8z,1,0,1,2
2azd8z,2,0,0,1
2azd8z,3,0,0,1
2azE1k,1,0,0,0
2azE1k,2,0,0,0
2azE1k,3,0,0,0
2azgD6,1,0,3,0
2azgD6,2,NA,4,0
2azgD6,3,0,5,0
2azKqm,1,0,1,0
2azKqm,2,0,1,0
2azKqm,3,0,1,0
2azOo6,1,4,2,20
2azOo6,2,3,2,11
2azOo6,3,2,4,15
2azPdm,1,NA,3,11
2azPdm,2,NA,3,17
2azPdm,3,NA,NA,NA
2azQBy,1,0,3,6
2azQBy,2,0,2,2
2azQBy,3,0,4,16
2azrYo,1,0,0,1
2azrYo,2,0,0,1
2azrYo,3,0,0,3
2azVxz,1,0,0,3
2azVxz,2,0,3,6
2azVxz,3,0,0,1
2DE1BD,1,0,3,8
2DE1BD,2,0,4,10
2DE1BD,3,0,4,8
2DE1ER,1,0,6,24
2DE1ER,2,0,1,0
2DE1ER,3,0,4,15
2DEBml,1,2,3,24
2DEBml,2,1,6,24
2DEBml,3,NA,NA,NA
2DEGrl,1,0,6,15
2DEGrl,2,0,1,12
2DEGrl,3,0,6,15
2DEGZl,1,NA,5,12
2DEGZl,2,0,3,7
2DEGZl,3,0,3,9
2DEndz,1,0,3,19
2DEndz,2,2,1,1
2DEndz,3,3,3,0
2DEPLz,1,0,2,6
2DEPLz,2,0,0,8
2DEPLz,3,0,1,3
2DEPOR,1,0,1,5
2DEPOR,2,0,2,3
2DEPOR,3,0,2,5
2DERmR,1,0,3,2
2DERmR,2,0,4,0
2DERmR,3,0,4,4
2DErnj,1,0,2,3
2DErnj,2,0,2,7
2DErnj,3,0,3,4
2DERyv,1,0,2,3
2DERyv,2,0,2,5
2DERyv,3,0,3,5
2DEW5o,1,0,3,7
2DEW5o,2,0,0,8
2DEW5o,3,0,3,6
2Dj3Zz,1,0,0,2
2Dj3Zz,2,0,1,4
2Dj3Zz,3,0,1,4
2Dj46R,1,0,3,6
2Dj46R,2,0,2,7
2Dj46R,3,0,4,16
2Dj9Rj,1,0,4,8
2Dj9Rj,2,0,1,4
2Dj9Rj,3,0,4,7
2DjG0R,1,0,1,3
2DjG0R,2,0,2,5
2DjG0R,3,0,0,9
2DjGPV,1,0,3,8
2DjGPV,2,0,3,6
2DjGPV,3,0,3,8
2DjgZz,1,0,4,3
2DjgZz,2,0,3,1
2DjgZz,3,0,2,2
2DjkKJ,1,0,5,19
2DjkKJ,2,0,5,17
2DjkKJ,3,0,4,15
2DjmvW,1,0,1,0
2DjmvW,2,0,0,0
2DjmvW,3,0,0,0
2DjyED,1,0,3,4
2DjyED,2,0,3,8
2DjyED,3,0,1,4
2DjyG1,1,0,1,6
2DjyG1,2,0,4,6
2DjyG1,3,0,1,7
2Djzdo,1,0,2,18
2Djzdo,2,NA,NA,NA
2Djzdo,3,NA,NA,NA
2DL0No,1,0,4,0
2DL0No,2,0,6,0
2DL0No,3,1,4,6
2Dl1z2,1,0,0,0
2Dl1z2,2,0,1,0
2Dl1z2,3,0,0,0
2DL4Yj,1,0,1,3
2DL4Yj,2,NA,NA,NA
2DL4Yj,3,0,0,1
2DLAl1,1,0,2,8
2DLAl1,2,0,1,1
2DLAl1,3,0,0,3
2DLapl,1,0,0,0
2DLapl,2,NA,NA,NA
2DLapl,3,NA,NA,NA
2DLAZl,1,0,1,3
2DLAZl,2,0,1,4
2DLAZl,3,0,1,10
2DLdDD,1,0,1,4
2DLdDD,2,0,0,0
2DLdDD,3,0,1,2
2DLjVR,1,0,1,0
2DLjVR,2,NA,NA,NA
2DLjVR,3,0,2,0
2DLKkJ,1,0,0,1
2DLKkJ,2,0,1,2
2DLKkJ,3,0,1,0
2DLMAJ,1,0,0,3
2DLMAJ,2,0,0,6
2DLMAJ,3,0,1,13
