"cow_no" "milk_date" "dfc" "yield"
100 2005-02-18 297 8700
100 2005-02-19 298 5732
100 2005-02-19 298 6606
100 2005-02-19 298 5576
100 2005-02-20 299 8272
100 2005-02-20 299 7834
100 2005-02-20 299 7402
100 2005-02-21 300 6297
100 2005-02-21 300 6632
100 2005-02-21 300 5579
100 2005-02-22 301 7205
100 2005-02-22 301 6029
100 2005-02-22 301 8638
100 2005-02-22 301 4551
100 2005-02-23 302 6250
100 2005-02-23 302 7503
100 2005-02-24 303 7852
100 2005-02-24 303 7496
100 2005-02-24 303 6787
100 2005-02-25 304 5292
100 2005-02-25 304 6224
100 2005-02-25 304 6547
100 2005-02-25 304 5124
100 2005-02-26 305 6820
100 2005-02-26 305 6767
1051 2002-11-01 100 14202
1051 2002-11-01 100 12391
1051 2002-11-02 101 16866
1051 2002-11-02 101 14417
1051 2002-11-03 102 16642
1051 2002-11-03 102 14890
1051 2002-11-03 102 10212
1051 2002-11-04 103 11042
1051 2002-11-04 103 14326
1051 2002-11-04 103 14040
1051 2002-11-05 104 12812
1051 2002-11-05 104 14784
1051 2002-11-05 104 17660
1051 2002-11-06 105 21931
1051 2002-11-06 105 18492
1051 2002-11-07 106 15941
1051 2002-11-07 106 19934
1051 2002-11-08 107 17989
1051 2002-11-09 108 26165
1051 2002-11-10 109 18326
1051 2002-11-10 109 14303
1051 2002-11-11 110 19557
1051 2002-11-12 111 17063
1051 2002-11-12 111 20557
1051 2002-11-13 112 16484
1051 2002-11-13 112 17249
1051 2002-11-14 113 19598
1051 2002-11-14 113 19599
1051 2002-11-15 114 19103
1051 2002-11-15 114 18432
1051 2002-11-16 115 16153
1051 2002-11-16 115 15559
1051 2002-11-17 116 24387
1051 2002-11-17 116 13377
1051 2002-11-18 117 19283
1051 2002-11-18 117 15254
1051 2002-11-19 118 17789
1051 2002-11-19 118 16611
1051 2002-11-20 119 23136
1051 2002-11-21 120 11889
1051 2002-11-22 121 19117
1051 2002-11-22 121 12060
1051 2002-11-23 122 17828
1051 2002-11-23 122 13582
1051 2002-11-24 123 18679
1051 2002-11-24 123 14303
1051 2002-11-25 124 14107
1051 2002-11-25 124 14735
1051 2002-11-25 124 9977
1051 2002-11-26 125 24072
1051 2002-11-26 125 13441
1051 2002-11-27 126 18593
1051 2002-11-27 126 11785
1051 2002-11-28 127 12510
1051 2002-11-28 127 21407
1051 2002-11-29 128 14432
1051 2002-11-29 128 21964
1051 2002-11-30 129 12141
1051 2002-11-30 129 15974
1051 2002-11-30 129 11916
1051 2002-12-01 130 27323
1051 2002-12-01 130 11478
1051 2002-12-02 131 10316
1051 2002-12-12 141 25625
1051 2002-12-13 142 19752
1051 2002-12-14 143 26486
1051 2002-12-15 144 17435
1051 2002-12-16 145 27752
1051 2002-12-17 146 25880
1051 2002-12-17 146 21062
1051 2002-12-21 150 19803
1051 2002-12-22 151 13258
1051 2002-12-22 151 18339
1051 2002-12-23 152 19821
1051 2002-12-26 155 22270
1051 2002-12-27 156 14251
1051 2002-12-27 156 21485
1051 2002-12-30 159 22057
1051 2003-01-06 166 26200
1051 2003-01-07 167 9524
1051 2003-01-08 168 23251
1051 2003-01-09 169 18235
1051 2003-01-09 169 12623
1051 2003-01-10 170 15077
1051 2003-01-11 171 19821
1051 2003-01-12 172 16040
1051 2003-01-12 172 14700
1051 2003-01-14 174 26506
1051 2003-01-14 174 13889
1051 2003-01-15 175 20070
1051 2003-01-16 176 9612
1051 2003-01-16 176 11888
1051 2003-01-17 177 14462
1051 2003-01-17 177 7587
1051 2003-01-17 177 12059
1051 2003-01-18 178 14359
1051 2003-01-18 178 11398
1051 2003-01-20 180 17585
1051 2003-01-22 182 13773
1051 2003-01-22 182 9834
1051 2003-01-22 182 12498
1051 2003-01-23 183 16129
1051 2003-01-23 183 13776
1051 2003-01-24 184 10724
1051 2003-01-24 184 9496
1051 2003-01-25 185 21733
1051 2003-01-25 185 10998
1051 2003-01-26 186 13997
1051 2003-01-26 186 9291
1051 2003-01-27 187 12049
1051 2003-01-27 187 19552
1051 2003-01-29 189 16429
1051 2003-01-30 190 12952
1051 2003-01-30 190 18261
1051 2003-02-01 192 13798
1051 2003-02-01 192 8893
1051 2003-02-02 193 17481
1051 2003-02-03 194 19048
1051 2003-02-03 194 10577
1051 2003-02-05 196 16740
1051 2003-02-06 197 7778
1051 2003-02-06 197 12981
1051 2003-02-07 198 10628
1051 2003-02-07 198 10690
1051 2003-02-07 198 13184
1051 2003-02-08 199 16217
